GROUPING ID,GROUPING DESCRIPTION,Variable Legend,SELECT,DISPLAY,POPULATION_TYPE,VARIABLE
Adult_curr_cig_smoking.001,Prevalence of current cigarette smoking among adults,Female,,,WHO_Adult_curr_cig_smoking,who/Adult_curr_cig_smoking.SEX--F
Adult_curr_cig_smoking.001,Prevalence of current cigarette smoking among adults,Male,,,WHO_Adult_curr_cig_smoking,who/Adult_curr_cig_smoking.SEX--M
Adult_curr_cig_smoking.001,Prevalence of current cigarette smoking among adults,Total,,,WHO_Adult_curr_cig_smoking,who/Adult_curr_cig_smoking
Adult_curr_e-cig.001,Prevalence of current e-cigarette use among adults,Female,,,WHO_Adult_curr_e-cig,who/Adult_curr_e-cig.SEX--F
Adult_curr_e-cig.001,Prevalence of current e-cigarette use among adults,Male,,,WHO_Adult_curr_e-cig,who/Adult_curr_e-cig.SEX--M
Adult_curr_e-cig.001,Prevalence of current e-cigarette use among adults,Total,,,WHO_Adult_curr_e-cig,who/Adult_curr_e-cig
Adult_curr_smokeless.001,Prevalence of current smokeless tobacco use among adults,Female,,,WHO_Adult_curr_smokeless,who/Adult_curr_smokeless.SEX--F
Adult_curr_smokeless.001,Prevalence of current smokeless tobacco use among adults,Male,,,WHO_Adult_curr_smokeless,who/Adult_curr_smokeless.SEX--M
Adult_curr_smokeless.001,Prevalence of current smokeless tobacco use among adults,Total,,,WHO_Adult_curr_smokeless,who/Adult_curr_smokeless
Adult_curr_tob_smoking.001,Prevalence of current tobacco smoking among adults,Female,,,WHO_Adult_curr_tob_smoking,who/Adult_curr_tob_smoking.SEX--F
Adult_curr_tob_smoking.001,Prevalence of current tobacco smoking among adults,Male,,,WHO_Adult_curr_tob_smoking,who/Adult_curr_tob_smoking.SEX--M
Adult_curr_tob_smoking.001,Prevalence of current tobacco smoking among adults,Total,,,WHO_Adult_curr_tob_smoking,who/Adult_curr_tob_smoking
Adult_curr_tob_use.001,Prevalence of current tobacco use among adults,Female,,,WHO_Adult_curr_tob_use,who/Adult_curr_tob_use.SEX--F
Adult_curr_tob_use.001,Prevalence of current tobacco use among adults,Male,,,WHO_Adult_curr_tob_use,who/Adult_curr_tob_use.SEX--M
Adult_curr_tob_use.001,Prevalence of current tobacco use among adults,Total,,,WHO_Adult_curr_tob_use,who/Adult_curr_tob_use
Adult_daily_cig_smoking.001,Prevalence of daily cigarette smoking among adults,Female,,,WHO_Adult_daily_cig_smoking,who/Adult_daily_cig_smoking.SEX--F
Adult_daily_cig_smoking.001,Prevalence of daily cigarette smoking among adults,Male,,,WHO_Adult_daily_cig_smoking,who/Adult_daily_cig_smoking.SEX--M
Adult_daily_cig_smoking.001,Prevalence of daily cigarette smoking among adults,Total,,,WHO_Adult_daily_cig_smoking,who/Adult_daily_cig_smoking
Adult_daily_e-cig.001,Prevalence of daily e-cigarette use among adults,Female,,,WHO_Adult_daily_e-cig,who/Adult_daily_e-cig.SEX--F
Adult_daily_e-cig.001,Prevalence of daily e-cigarette use among adults,Male,,,WHO_Adult_daily_e-cig,who/Adult_daily_e-cig.SEX--M
Adult_daily_e-cig.001,Prevalence of daily e-cigarette use among adults,Total,,,WHO_Adult_daily_e-cig,who/Adult_daily_e-cig
Adult_daily_smokeless.001,Prevalence of daily smokeless tobacco use among adults,Female,,,WHO_Adult_daily_smokeless,who/Adult_daily_smokeless.SEX--F
Adult_daily_smokeless.001,Prevalence of daily smokeless tobacco use among adults,Male,,,WHO_Adult_daily_smokeless,who/Adult_daily_smokeless.SEX--M
Adult_daily_smokeless.001,Prevalence of daily smokeless tobacco use among adults,Total,,,WHO_Adult_daily_smokeless,who/Adult_daily_smokeless
